bike_name,price,city,kms_driven,owner,age,power,brand
Yamaha YZF-R15 2.0 150cc,80000.0,Delhi,7018.0,First Owner,4.0,150.0,Yamaha
Yamaha FZs 150cc,35255.0,Delhi,25000.0,First Owner,9.0,150.0,Yamaha
Yamaha FZ S V 2.0 150cc,45000.0,Delhi,15886.0,First Owner,7.0,150.0,Yamaha
Yamaha FZs 150cc,46000.0,Delhi,11000.0,Second Owner,6.0,150.0,Yamaha
Yamaha YZF-R15 2.0 150cc,66000.0,Delhi,2465.0,First Owner,9.0,150.0,Yamaha
Yamaha SZ RR V 2.0 150cc,47000.0,Delhi,6363.0,First Owner,3.0,150.0,Yamaha
Yamaha YZF-R15 150cc,35000.0,Delhi,33555.0,First Owner,13.0,150.0,Yamaha
Yamaha Saluto 125cc,31900.0,Delhi,21700.0,First Owner,6.0,125.0,Yamaha
Yamaha FZs 150cc,18000.0,Delhi,64901.0,Third Owner,11.0,150.0,Yamaha
Yamaha FZs 150cc,17000.0,Delhi,15000.0,Second Owner,13.0,150.0,Yamaha
Yamaha YZF-R15 V3 150cc,135000.0,Delhi,14050.0,First Owner,3.0,150.0,Yamaha
Yamaha FZS FI 150cc,60000.0,Delhi,12000.0,First Owner,5.0,150.0,Yamaha
Yamaha FZ 150cc,45000.0,Delhi,16000.0,First Owner,7.0,150.0,Yamaha
Yamaha FZs 150cc,40000.0,Delhi,20000.0,First Owner,7.0,150.0,Yamaha
Yamaha Fazer 150cc,30000.0,Delhi,30920.0,First Owner,10.0,150.0,Yamaha
Yamaha YZF-R15 150cc,105000.0,Delhi,6900.0,First Owner,2.0,150.0,Yamaha
Yamaha YBR 110cc,18000.0,Delhi,12200.0,First Owner,9.0,110.0,Yamaha
Yamaha YZF-R15 2.0 150cc,50000.0,Delhi,18835.0,First Owner,8.0,150.0,Yamaha
Yamaha YZF-R15 150cc,85500.0,Delhi,10799.0,First Owner,4.0,150.0,Yamaha
Yamaha FZ S V 2.0 150cc,49000.0,Delhi,21000.0,First Owner,6.0,150.0,Yamaha
Yamaha FZ V 2.0 150cc,40000.0,Delhi,28000.0,Second Owner,6.0,150.0,Yamaha
Yamaha Fazer 150cc,30500.0,Delhi,21000.0,Second Owner,8.0,150.0,Yamaha
Yamaha FZs 150cc,30000.0,Delhi,70000.0,Second Owner,7.0,150.0,Yamaha
Yamaha YZF-R15 2.0 150cc,75000.0,Delhi,23085.0,First Owner,5.0,150.0,Yamaha
Yamaha YZF-R15 2.0 150cc,65000.0,Delhi,38057.0,First Owner,7.0,150.0,Yamaha
Yamaha FZ S V 2.0 150cc,40000.0,Delhi,44000.0,First Owner,5.0,150.0,Yamaha
Yamaha FZs 150cc,33000.0,Delhi,13007.0,Second Owner,6.0,150.0,Yamaha
Yamaha FZs 150cc,40000.0,Delhi,37000.0,First Owner,7.0,150.0,Yamaha
Yamaha Fazer 150cc,38000.0,Delhi,8000.0,First Owner,7.0,150.0,Yamaha
Yamaha YZF-R1 1000cc,1550000.0,Delhi,9800.0,Second Owner,6.0,1000.0,Yamaha
Yamaha YZF-R15 150cc,100000.0,Delhi,9000.0,First Owner,4.0,150.0,Yamaha
Yamaha Fazer 25 250cc,89000.0,Delhi,20099.0,First Owner,4.0,250.0,Yamaha
Yamaha FZ 150cc,17000.0,Delhi,36111.0,First Owner,12.0,150.0,Yamaha
Yamaha FZs 150cc,35000.0,Delhi,19134.0,First Owner,11.0,150.0,Yamaha
Yamaha FZs 150cc,22000.0,Delhi,32000.0,First Owner,13.0,150.0,Yamaha
Yamaha FZ 150cc,29900.0,Delhi,41048.0,First Owner,10.0,150.0,Yamaha
Yamaha YZF-R15 150cc,72000.0,Delhi,9125.0,First Owner,6.0,150.0,Yamaha
Yamaha YZF-R15 150cc,102000.0,Delhi,2600.0,First Owner,5.0,150.0,Yamaha
Yamaha FZ16 150cc,37000.0,Delhi,32000.0,First Owner,8.0,150.0,Yamaha
Yamaha FZ16 150cc,45000.0,Delhi,12551.0,First Owner,9.0,150.0,Yamaha
Yamaha FZ 150cc,45000.0,Delhi,22500.0,First Owner,7.0,150.0,Yamaha
Yamaha FZ25 250cc,110000.0,Delhi,800.0,First Owner,3.0,250.0,Yamaha
Yamaha YZF-R15 150cc,102000.0,Delhi,2000.0,First Owner,5.0,150.0,Yamaha
Yamaha YZF-R15 150cc,52000.0,Delhi,21200.0,First Owner,10.0,150.0,Yamaha
Yamaha YZF-R15 2.0 150cc,58000.0,Delhi,21853.0,First Owner,7.0,150.0,Yamaha
Yamaha YZF-R15 S 150cc,76000.0,Delhi,11424.0,First Owner,5.0,150.0,Yamaha
Yamaha Fazer 150cc,25000.0,Delhi,65000.0,First Owner,12.0,150.0,Yamaha
Yamaha FZ16 150cc,30500.0,Delhi,37000.0,First Owner,12.0,150.0,Yamaha
Yamaha FZ25 ABS 250cc,142000.0,Delhi,233.0,First Owner,2.0,250.0,Yamaha
Yamaha YZF-R15 2.0 150cc,85000.0,Delhi,8650.0,First Owner,6.0,150.0,Yamaha
Yamaha Libero G5 110cc,22500.0,Delhi,17000.0,First Owner,13.0,110.0,Yamaha
Yamaha Fazer 150cc,38000.0,Delhi,48000.0,Second Owner,9.0,150.0,Yamaha
Yamaha FZs 150cc,36000.0,Delhi,14500.0,Second Owner,8.0,150.0,Yamaha
Yamaha FZs 150cc,38000.0,Delhi,40826.0,First Owner,8.0,150.0,Yamaha
Yamaha FZs 150cc,31000.0,Delhi,58000.0,First Owner,10.0,150.0,Yamaha
Yamaha FZ25 250cc,115800.0,Delhi,2126.0,First Owner,3.0,250.0,Yamaha
Yamaha Fazer 150cc,37000.0,Delhi,77596.0,First Owner,8.0,150.0,Yamaha
Yamaha YZF-R3 320cc,220000.0,Delhi,7130.0,First Owner,5.0,320.0,Yamaha
